,Elapsed Time,Left Stride Interval ,Right Stride Interval,Left Swing Interval_Sec,Right Swing Interval_Sec,Left Swing Interval,Right Swing Interval,Left Stance Interval_Sec,Right Stance Interval_sec,Left Stance Interval,Right Stance Interval,Double Support Interval_sec,Double Support Interval
0,22.1933,1.1333,1.15,0.3867,0.4,34.12,34.78,0.7467,0.75,65.88,65.22,0.3467,30.59
1,23.3733,1.18,1.16,0.39,0.4,33.05,34.48,0.79,0.76,66.95,65.52,0.39,33.05
2,24.5967,1.2233,1.1933,0.4067,0.3867,33.24,32.4,0.8167,0.8067,66.76,67.6,0.43,35.15
3,25.78,1.1833,1.24,0.39,0.4367,32.96,35.22,0.7933,0.8033,67.04,64.78,0.3567,30.14
4,26.96,1.18,1.1567,0.4,0.41,33.9,35.45,0.78,0.7467,66.1,64.55,0.37,31.36
5,28.1533,1.1933,1.1933,0.3867,0.4167,32.4,34.92,0.8067,0.7767,67.6,65.08,0.39,32.68
6,29.37,1.2167,1.2067,0.41,0.42,33.7,34.81,0.8067,0.7867,66.3,65.19,0.3867,31.78
7,30.5467,1.1767,1.2033,0.3833,0.4133,32.58,34.35,0.7933,0.79,67.42,65.65,0.38,32.29
8,31.74,1.1933,1.16,0.41,0.4033,34.36,34.77,0.7833,0.7567,65.64,65.23,0.38,31.84
9,32.9467,1.2067,1.21,0.4133,0.4133,34.25,34.16,0.7933,0.7967,65.75,65.84,0.38,31.49
10,34.1133,1.1667,1.1867,0.3933,0.41,33.71,34.55,0.7733,0.7767,66.29,65.45,0.3633,31.14
11,35.3067,1.1933,1.1733,0.3933,0.4067,32.96,34.66,0.8,0.7667,67.04,65.34,0.3933,32.96
12,36.51,1.2033,1.2167,0.3967,0.41,32.96,33.7,0.8067,0.8067,67.04,66.3,0.3967,32.96
13,37.73,1.22,1.1933,0.4133,0.4067,33.88,34.08,0.8067,0.7867,66.12,65.92,0.4,32.79
14,38.9067,1.1767,1.2,0.3967,0.41,33.71,34.17,0.78,0.79,66.29,65.83,0.37,31.44
15,40.1,1.1933,1.1933,0.4067,0.4133,34.08,34.64,0.7867,0.78,65.92,65.36,0.3733,31.28
16,41.2833,1.1833,1.1933,0.3833,0.4133,32.39,34.64,0.8,0.78,67.61,65.36,0.3867,32.68
17,42.4733,1.19,1.1867,0.4,0.42,33.61,35.39,0.79,0.7667,66.39,64.61,0.37,31.09
18,43.6533,1.18,1.1633,0.4133,0.4067,35.03,34.96,0.7667,0.7567,64.97,65.04,0.36,30.51
19,44.83,1.1767,1.2,0.3933,0.41,33.43,34.17,0.7833,0.79,66.57,65.83,0.3733,31.73
20,46.03,1.2,1.18,0.4033,0.4133,33.61,35.03,0.7967,0.7667,66.39,64.97,0.3833,31.94
21,47.22,1.19,1.2133,0.3867,0.4133,32.49,34.07,0.8033,0.8,67.51,65.93,0.39,32.77
22,48.42,1.2,1.1833,0.3933,0.42,32.78,35.49,0.8067,0.7633,67.22,64.51,0.3867,32.22
23,49.6333,1.2133,1.1867,0.42,0.4133,34.62,34.83,0.7933,0.7733,65.38,65.17,0.38,31.32
24,50.8633,1.23,1.2333,0.41,0.4233,33.33,34.32,0.82,0.81,66.67,65.68,0.3967,32.25
25,52.0567,1.1933,1.2167,0.3967,0.4167,33.24,34.25,0.7967,0.8,66.76,65.75,0.38,31.84
26,53.2467,1.19,1.19,0.3867,0.4,32.49,33.61,0.8033,0.79,67.51,66.39,0.4033,33.89
27,54.43,1.1833,1.2033,0.3833,0.4267,32.39,35.46,0.8,0.7767,67.61,64.54,0.3733,31.55
28,55.6167,1.1867,1.1633,0.4033,0.4133,33.99,35.53,0.7833,0.75,66.01,64.47,0.37,31.18
29,56.83,1.2133,1.2033,0.3967,0.4167,32.69,34.63,0.8167,0.7867,67.31,65.37,0.4,32.97
30,58.04,1.21,1.2,0.4067,0.4167,33.61,34.72,0.8033,0.7833,66.39,65.28,0.3867,31.96
31,59.24,1.2,1.2,0.4067,0.3967,33.89,33.06,0.7933,0.8033,66.11,66.94,0.3967,33.06
32,60.4367,1.1967,1.21,0.4033,0.4167,33.7,34.44,0.7933,0.7933,66.3,65.56,0.3767,31.48
33,61.6433,1.2067,1.2133,0.39,0.4167,32.32,34.34,0.8167,0.7967,67.68,65.66,0.4,33.15
34,62.8567,1.2133,1.2033,0.4,0.41,32.97,34.07,0.8133,0.7933,67.03,65.93,0.4033,33.24
35,64.0867,1.23,1.2133,0.39,0.41,31.71,33.79,0.84,0.8033,68.29,66.21,0.43,34.96
36,65.36,1.2733,1.28,0.34,0.4167,26.7,32.55,0.9333,0.8633,73.3,67.45,0.5167,40.58
37,66.8167,1.4567,1.3533,0.4,0.3567,27.46,26.35,1.0567,0.9967,72.54,73.65,0.7,48.05
38,68.09,1.2733,1.36,0.4167,0.4333,32.72,31.86,0.8567,0.9267,67.28,68.14,0.4233,33.25
39,69.29,1.2,1.22,0.4067,0.4067,33.89,33.33,0.7933,0.8133,66.11,66.67,0.3867,32.22
40,70.4933,1.2033,1.2133,0.4033,0.42,33.52,34.62,0.8,0.7933,66.48,65.38,0.38,31.58
41,71.77,1.2767,1.2567,0.4033,0.4367,31.59,34.75,0.8733,0.82,68.41,65.25,0.4367,34.2
42,73.0,1.23,1.23,0.4,0.4033,32.52,32.79,0.83,0.8267,67.48,67.21,0.4267,34.69
43,74.2233,1.2233,1.24,0.4033,0.4167,32.97,33.6,0.82,0.8233,67.03,66.4,0.4033,32.97
44,75.41,1.1867,1.2167,0.39,0.4167,32.87,34.25,0.7967,0.8,67.13,65.75,0.38,32.02
45,76.6167,1.2067,1.1733,0.4,0.4067,33.15,34.66,0.8067,0.7667,66.85,65.34,0.4,33.15
46,77.7833,1.1667,1.1833,0.3933,0.3867,33.71,32.68,0.7733,0.7967,66.29,67.32,0.3867,33.14
47,78.96,1.1767,1.2,0.3833,0.41,32.58,34.17,0.7933,0.79,67.42,65.83,0.3833,32.58
48,80.1167,1.1567,1.1267,0.39,0.3833,33.72,34.02,0.7667,0.7433,66.28,65.98,0.3833,33.14
49,81.3,1.1833,1.1633,0.3967,0.38,33.52,32.66,0.7867,0.7833,66.48,67.34,0.4067,34.37
50,82.48,1.18,1.2233,0.3867,0.41,32.77,33.51,0.7933,0.8133,67.23,66.49,0.3833,32.49
51,83.6433,1.1633,1.15,0.3967,0.4067,34.1,35.36,0.7667,0.7433,65.9,64.64,0.36,30.95
52,84.8567,1.2133,1.2067,0.3967,0.43,32.69,35.64,0.8167,0.7767,67.31,64.36,0.3867,31.87
53,86.07,1.2133,1.21,0.3967,0.41,32.69,33.88,0.8167,0.8,67.31,66.12,0.4067,33.52
54,87.23,1.16,1.1933,0.3767,0.4133,32.47,34.64,0.7833,0.78,67.53,65.36,0.37,31.9
55,88.4533,1.2233,1.1933,0.39,0.4133,31.88,34.64,0.8333,0.78,68.12,65.36,0.42,34.33
56,89.6533,1.2,1.21,0.39,0.4267,32.5,35.26,0.81,0.7833,67.5,64.74,0.3833,31.94
57,90.8733,1.22,1.21,0.3967,0.4233,32.51,34.99,0.8233,0.7867,67.49,65.01,0.4,32.79
58,92.07,1.1967,1.2067,0.3967,0.43,33.15,35.64,0.8,0.7767,66.85,64.36,0.37,30.92
59,93.2533,1.1833,1.1667,0.4,0.4033,33.8,34.57,0.7833,0.7633,66.2,65.43,0.38,32.11
60,94.4433,1.19,1.2033,0.3933,0.42,33.05,34.9,0.7967,0.7833,66.95,65.1,0.3767,31.65
61,95.6533,1.21,1.2,0.3967,0.4167,32.78,34.72,0.8133,0.7833,67.22,65.28,0.3967,32.78
62,96.8467,1.1933,1.1833,0.4033,0.4,33.8,33.8,0.79,0.7833,66.2,66.2,0.39,32.68
63,98.0433,1.1967,1.2133,0.4,0.4167,33.43,34.34,0.7967,0.7967,66.57,65.66,0.38,31.75
64,99.2233,1.18,1.1867,0.39,0.4133,33.05,34.83,0.79,0.7733,66.95,65.17,0.3767,31.92
65,100.41,1.1867,1.1767,0.3933,0.4,33.15,33.99,0.7933,0.7767,66.85,66.01,0.3933,33.15
66,101.59,1.18,1.1967,0.3833,0.41,32.49,34.26,0.7967,0.7867,67.51,65.74,0.3867,32.77
67,102.79,1.2,1.1867,0.3833,0.42,31.94,35.39,0.8167,0.7667,68.06,64.61,0.3967,33.06
68,103.96,1.17,1.1933,0.38,0.4,32.48,33.52,0.79,0.7933,67.52,66.48,0.39,33.33
