,Elapsed Time,Left Stride Interval ,Right Stride Interval,Left Swing Interval_Sec,Right Swing Interval_Sec,Left Swing Interval,Right Swing Interval,Left Stance Interval_Sec,Right Stance Interval_sec,Left Stance Interval,Right Stance Interval,Double Support Interval_sec,Double Support Interval
0,21.6633,1.0033,0.99,0.36,0.3733,35.88,37.71,0.6433,0.6167,64.12,62.29,0.27,26.91
1,22.6633,1.0,0.9867,0.38,0.37,38.0,37.5,0.62,0.6167,62.0,62.5,0.25,25.0
2,23.68,1.0167,0.9967,0.3767,0.3567,37.05,35.79,0.64,0.64,62.95,64.21,0.2833,27.87
3,24.6867,1.0067,1.02,0.3767,0.3567,37.42,34.97,0.63,0.6633,62.58,65.03,0.2733,27.15
4,25.71,1.0233,1.0233,0.3733,0.3767,36.48,36.81,0.65,0.6467,63.52,63.19,0.2733,26.71
5,26.7067,0.9967,1.0,0.3567,0.3567,35.79,35.67,0.64,0.6433,64.21,64.33,0.2833,28.43
6,27.73,1.0233,1.0233,0.3833,0.38,37.46,37.13,0.64,0.6433,62.54,62.87,0.26,25.41
7,28.7467,1.0167,0.9967,0.4,0.36,39.34,36.12,0.6167,0.6367,60.66,63.88,0.2567,25.25
8,29.7933,1.0467,1.0567,0.3833,0.37,36.62,35.02,0.6633,0.6867,63.38,64.98,0.2933,28.03
9,30.8433,1.05,1.0533,0.3733,0.38,35.56,36.08,0.6767,0.6733,64.44,63.92,0.2967,28.25
10,31.8433,1.0,1.02,0.3433,0.37,34.33,36.27,0.6567,0.65,65.67,63.73,0.2867,28.67
11,32.8633,1.02,1.0167,0.36,0.3667,35.29,36.07,0.66,0.65,64.71,63.93,0.2933,28.76
12,33.8667,1.0033,0.9867,0.3567,0.35,35.55,35.47,0.6467,0.6367,64.45,64.53,0.2967,29.57
13,34.8767,1.01,1.0133,0.3667,0.35,36.3,34.54,0.6433,0.6633,63.7,65.46,0.2933,29.04
14,35.8733,0.9967,1.0267,0.36,0.3767,36.12,36.69,0.6367,0.65,63.88,63.31,0.26,26.09
15,36.8933,1.02,0.99,0.38,0.3633,37.25,36.7,0.64,0.6267,62.75,63.3,0.2767,27.12
16,37.8967,1.0033,1.02,0.37,0.37,36.88,36.27,0.6333,0.65,63.12,63.73,0.2633,26.25
17,38.9067,1.01,1.0,0.3733,0.3667,36.96,36.67,0.6367,0.6333,63.04,63.33,0.27,26.73
18,39.89,0.9833,1.0033,0.36,0.3533,36.61,35.22,0.6233,0.65,63.39,64.78,0.27,27.46
