,Elapsed Time,Left Stride Interval ,Right Stride Interval,Left Swing Interval_Sec,Right Swing Interval_Sec,Left Swing Interval,Right Swing Interval,Left Stance Interval_Sec,Right Stance Interval_sec,Left Stance Interval,Right Stance Interval,Double Support Interval_sec,Double Support Interval
0,23.3067,1.31,1.3533,0.5567,0.3567,42.49,26.35,0.7533,0.9967,57.51,73.65,0.3967,30.28
1,24.5167,1.21,1.31,0.44,0.3367,36.36,25.7,0.77,0.9733,63.64,74.3,0.4333,35.81
2,25.96,1.4433,1.32,0.54,0.2933,37.41,22.22,0.9033,1.0267,62.59,77.78,0.61,42.26
3,27.4767,1.5167,1.3567,0.66,0.4033,43.52,29.73,0.8567,0.9533,56.48,70.27,0.4533,29.89
4,28.6367,1.16,1.3933,0.45,0.2533,38.79,18.18,0.71,1.14,61.21,81.82,0.4567,39.37
5,29.8567,1.22,1.3633,0.33,0.5133,27.05,37.65,0.89,0.85,72.95,62.35,0.3767,30.87
6,30.86,1.0033,1.0667,0.3633,0.2,36.21,18.75,0.64,0.8667,63.79,81.25,0.44,43.85
7,32.1233,1.2633,1.0967,0.4333,0.4333,34.3,39.51,0.83,0.6633,65.7,60.49,0.3967,31.4
8,33.8633,1.74,1.4467,0.69,0.5267,39.66,36.41,1.05,0.92,60.34,63.59,0.5233,30.08
9,35.31,1.4467,1.67,0.5,0.49,34.56,29.34,0.9467,1.18,65.44,70.66,0.4567,31.57
10,36.8567,1.5467,1.6,0.4533,0.5067,29.31,31.67,1.0933,1.0933,70.69,68.33,0.5867,37.93
11,38.05,1.1933,1.3233,0.3467,0.44,29.05,33.25,0.8467,0.8833,70.95,66.75,0.4067,34.08
12,39.81,1.76,1.3833,0.73,0.51,41.48,36.87,1.03,0.8733,58.52,63.13,0.52,29.55
13,41.2267,1.4167,1.6167,0.48,0.4933,33.88,30.52,0.9367,1.1233,66.12,69.48,0.4433,31.29
14,42.7933,1.5667,1.3833,0.6867,0.4367,43.83,31.57,0.88,0.9467,56.17,68.43,0.4433,28.3
15,44.3633,1.57,1.7467,0.5167,0.6067,32.91,34.73,1.0533,1.14,67.09,65.27,0.4467,28.45
16,45.6867,1.3233,1.1833,0.49,0.27,37.03,22.82,0.8333,0.9133,62.97,77.18,0.5633,42.57
17,47.04,1.3533,1.4233,0.4967,0.3733,36.7,26.23,0.8567,1.05,63.3,73.77,0.4833,35.71
18,48.64,1.6,1.5967,0.55,0.5367,34.38,33.61,1.05,1.06,65.62,66.39,0.5133,32.08
19,50.0433,1.4033,1.6833,0.3233,0.6233,23.04,37.03,1.08,1.06,76.96,62.97,0.4567,32.54
20,51.5867,1.5433,1.3267,0.5167,0.4967,33.48,37.44,1.0267,0.83,66.52,62.56,0.53,34.34
21,53.0367,1.45,1.5333,0.4533,0.4833,31.26,31.52,0.9967,1.05,68.74,68.48,0.5133,35.4
22,54.6833,1.6467,1.61,0.47,0.72,28.54,44.72,1.1767,0.89,71.46,55.28,0.4567,27.73
23,55.7933,1.11,1.2,0.3367,0.2767,30.33,23.06,0.7733,0.9233,69.67,76.94,0.4967,44.74
24,56.5133,0.72,1.0033,0.1433,0.1633,19.91,16.28,0.5767,0.84,80.09,83.72,0.4133,57.41
25,57.7067,1.1933,0.82,0.46,0.3233,38.55,39.43,0.7333,0.4967,61.45,60.57,0.41,34.36
26,59.21,1.5033,1.4267,0.2833,0.4567,18.85,32.01,1.22,0.97,81.15,67.99,0.7633,50.78
27,60.92,1.71,1.2967,0.6567,0.33,38.4,25.45,1.0533,0.9667,61.6,74.55,0.7233,42.3
28,62.9233,2.0033,2.1233,0.8,0.6367,39.93,29.98,1.2033,1.4867,60.07,70.02,0.5667,28.29
29,64.2867,1.3633,1.8633,0.3133,0.5367,22.98,28.8,1.05,1.3267,77.02,71.2,0.5133,37.65
30,65.84,1.5533,1.25,0.67,0.4533,43.13,36.27,0.8833,0.7967,56.87,63.73,0.43,27.68
31,67.4833,1.6433,1.47,0.7167,0.31,43.61,21.09,0.9267,1.16,56.39,78.91,0.6167,37.53
32,68.9533,1.47,1.58,0.6133,0.35,41.72,22.15,0.8567,1.23,58.28,77.85,0.5067,34.47
33,70.2867,1.3333,1.5967,0.34,0.4967,25.5,31.11,0.9933,1.1,74.5,68.89,0.4967,37.25
34,71.1533,0.8667,1.1633,0.25,0.17,28.85,14.61,0.6167,0.9933,71.15,85.39,0.4467,51.54
35,72.8933,1.74,1.2367,0.6233,0.58,35.82,46.9,1.1167,0.6567,64.18,53.1,0.5367,30.84
36,74.1467,1.2533,1.5567,0.3533,0.47,28.19,30.19,0.9,1.0867,71.81,69.81,0.43,34.31
37,75.49,1.3433,1.41,0.33,0.3567,24.57,25.3,1.0133,1.0533,75.43,74.7,0.6567,48.88
38,77.17,1.68,1.4067,0.55,0.52,32.74,36.97,1.13,0.8867,67.26,63.03,0.61,36.31
39,78.4467,1.2767,1.5267,0.3433,0.4867,26.89,31.88,0.9333,1.04,73.11,68.12,0.4467,34.99
40,80.11,1.6633,1.3733,0.5967,0.5367,35.87,39.08,1.0667,0.8367,64.13,60.92,0.53,31.86
41,81.5833,1.4733,1.5133,0.54,0.46,36.65,30.4,0.9333,1.0533,63.35,69.6,0.4733,32.13
42,83.0233,1.44,1.4367,0.5467,0.4533,37.96,31.55,0.8933,0.9833,62.04,68.45,0.44,30.56
43,84.5633,1.54,1.4967,0.62,0.4733,40.26,31.63,0.92,1.0233,59.74,68.37,0.4467,29.0
44,85.6267,1.0633,1.37,0.3433,0.31,32.29,22.63,0.72,1.06,67.71,77.37,0.41,38.56
45,87.27,1.6433,1.13,0.8433,0.3667,51.32,32.45,0.8,0.7633,48.68,67.55,0.4333,26.37
46,88.4433,1.1733,1.5633,0.3767,0.3033,32.1,19.4,0.7967,1.26,67.9,80.6,0.4933,42.05
47,89.8833,1.44,1.25,0.5933,0.3967,41.2,31.73,0.8467,0.8533,58.8,68.27,0.45,31.25
48,90.7533,0.87,1.3833,0.1733,0.3167,19.92,22.89,0.6967,1.0667,80.08,77.11,0.38,43.68
49,91.5033,0.75,1.3833,0.2167,0.3167,28.89,22.89,0.5333,1.0667,71.11,77.11,0.2167,28.89
50,92.8767,1.3733,1.6433,0.6033,0.3533,43.93,21.5,0.77,1.29,56.07,78.5,0.4167,30.34
51,94.4433,1.5667,1.5433,0.6167,0.4733,39.36,30.67,0.95,1.07,60.64,69.33,0.4767,30.43
52,95.98,1.5367,1.5533,0.56,0.48,36.44,30.9,0.9767,1.0733,63.56,69.1,0.4967,32.32
53,97.29,1.31,1.34,0.5167,0.34,39.44,25.37,0.7933,1.0,60.56,74.63,0.4533,34.61
54,98.72,1.43,1.2967,0.5567,0.3267,38.93,25.19,0.8733,0.97,61.07,74.81,0.5467,38.23
55,100.0233,1.3033,1.6433,0.3433,0.5167,26.34,31.44,0.96,1.1267,73.66,68.56,0.4433,34.02
56,101.6733,1.65,1.37,0.6733,0.4333,40.81,31.63,0.9767,0.9367,59.19,68.37,0.5433,32.93
57,103.3533,1.68,1.98,0.3,0.9067,17.86,45.79,1.38,1.0733,82.14,54.21,0.4733,28.17
58,104.8067,1.4533,1.25,0.56,0.4533,38.53,36.27,0.8933,0.7967,61.47,63.73,0.44,30.28
59,106.4,1.5933,1.4567,0.6733,0.46,42.26,31.58,0.92,0.9967,57.74,68.42,0.46,28.87
60,107.9933,1.5933,1.8033,0.39,0.67,24.48,37.15,1.2033,1.1333,75.52,62.85,0.5333,33.47
61,108.6367,0.6433,1.0233,0.18,0.1267,27.98,12.38,0.4633,0.8967,72.02,87.62,0.3367,52.33
62,109.91,1.2733,0.7833,0.5667,0.28,44.5,35.74,0.7067,0.5033,55.5,64.26,0.4267,33.51
63,112.1867,2.2767,1.4167,1.4067,0.3467,61.79,24.47,0.87,1.07,38.21,75.53,0.5233,22.99
64,113.4433,1.2567,2.1833,0.19,0.2367,15.12,10.84,1.0667,1.9467,84.88,89.16,0.83,66.05
65,115.49,2.0467,1.5267,1.1467,0.5767,56.03,37.77,0.9,0.95,43.97,62.23,0.3233,15.8
66,116.9567,1.4667,1.6433,0.25,0.2,17.05,12.17,1.2167,1.4433,82.95,87.83,1.0167,69.32
67,118.5933,1.6367,1.7367,0.63,0.35,38.49,20.15,1.0067,1.3867,61.51,79.85,0.6567,40.12
68,119.79,1.1967,1.5667,0.44,0.3733,36.77,23.83,0.7567,1.1933,63.23,76.17,0.3833,32.03
69,121.0867,1.2967,1.2833,0.3,0.44,23.14,34.29,0.9967,0.8433,76.86,65.71,0.5567,42.93
70,122.3967,1.31,1.1933,0.5567,0.3167,42.49,26.54,0.7533,0.8767,57.51,73.46,0.4367,33.33
71,124.2567,1.86,1.4933,0.8433,0.5233,45.34,35.04,1.0167,0.97,54.66,64.96,0.4933,26.52
72,125.88,1.6233,1.8033,0.6333,0.3033,39.01,16.82,0.99,1.5,60.99,83.18,0.6867,42.3
73,127.5267,1.6467,1.64,0.7267,0.5,44.13,30.49,0.92,1.14,55.87,69.51,0.42,25.51
74,128.8633,1.3367,1.6167,0.4167,0.4967,31.17,30.72,0.92,1.12,68.83,69.28,0.4233,31.67
75,129.8433,0.98,1.1033,0.25,0.24,25.51,21.75,0.73,0.8633,74.49,78.25,0.49,50.0
76,131.1133,1.27,0.9867,0.56,0.27,44.09,27.36,0.71,0.7167,55.91,72.64,0.44,34.65
77,132.6333,1.52,1.3767,0.6967,0.3033,45.83,22.03,0.8233,1.0733,54.17,77.97,0.52,34.21
78,134.0367,1.4033,1.8033,0.3333,0.6,23.75,33.27,1.07,1.2033,76.25,66.73,0.47,33.49
79,135.56,1.5233,1.4033,0.4467,0.4967,29.32,35.39,1.0767,0.9067,70.68,64.61,0.58,38.07
80,136.6433,1.0833,1.3867,0.2367,0.4533,21.85,32.69,0.8467,0.9333,78.15,67.31,0.3933,36.31
81,137.68,1.0367,0.7833,0.3833,0.2533,36.98,32.34,0.6533,0.53,63.02,67.66,0.4,38.59
82,139.0733,1.3933,1.3067,0.4667,0.4367,33.49,33.42,0.9267,0.87,66.51,66.58,0.49,35.17
83,140.45,1.3767,1.4933,0.35,0.5467,25.42,36.61,1.0267,0.9467,74.58,63.39,0.48,34.87
84,142.0233,1.5733,1.34,0.5733,0.4133,36.44,30.85,1.0,0.9267,63.56,69.15,0.5867,37.29
85,143.65,1.6267,1.59,0.5967,0.5,36.68,31.45,1.03,1.09,63.32,68.55,0.53,32.58
86,144.95,1.3,1.5367,0.3567,0.38,27.44,24.73,0.9433,1.1567,72.56,75.27,0.5633,43.33
87,146.13,1.18,1.2933,0.33,0.46,27.97,35.57,0.85,0.8333,72.03,64.43,0.39,33.05
88,148.0867,1.9567,1.5333,0.6467,0.5667,33.05,36.96,1.31,0.9667,66.95,63.04,0.7433,37.99
89,149.59,1.5033,1.64,0.6,0.4767,39.91,29.07,0.9033,1.1633,60.09,70.93,0.4267,28.38
90,150.4533,0.8633,1.3567,0.1633,0.3533,18.92,26.04,0.7,1.0033,81.08,73.96,0.3467,40.15
91,151.3233,0.87,1.3567,0.24,0.3533,27.59,26.04,0.63,1.0033,72.41,73.96,0.2767,31.8
92,152.7267,1.4033,1.81,0.5467,0.4133,38.95,22.84,0.8567,1.3967,61.05,77.16,0.4433,31.59
93,154.19,1.4633,1.5067,0.5033,0.4867,34.4,32.3,0.96,1.02,65.6,67.7,0.4733,32.35
94,155.78,1.59,1.3467,0.6433,0.41,40.46,30.45,0.9467,0.9367,59.54,69.55,0.5367,33.75
95,157.3467,1.5667,1.7133,0.5533,0.4767,35.32,27.82,1.0133,1.2367,64.68,72.18,0.5367,34.26
96,159.3767,2.03,1.4667,0.4867,0.37,23.97,25.23,1.5433,1.0967,76.03,74.77,1.1733,57.8
97,160.7833,1.4067,2.2133,0.2933,0.5967,20.85,26.96,1.1133,1.6167,79.15,73.04,0.5167,36.73
98,162.4233,1.64,1.4467,0.5333,0.4467,32.52,30.88,1.1067,1.0,67.48,69.12,0.66,40.24
99,163.7267,1.3033,1.2467,0.5133,0.2967,39.39,23.8,0.79,0.95,60.61,76.2,0.4933,37.85
100,165.15,1.4233,1.64,0.3967,0.5533,27.87,33.74,1.0267,1.0867,72.13,66.26,0.4733,33.26
101,166.49,1.34,1.2133,0.4233,0.34,31.59,28.02,0.9167,0.8733,68.41,71.98,0.5767,43.03
102,168.03,1.54,1.4167,0.5467,0.4267,35.5,30.12,0.9933,0.99,64.5,69.88,0.5667,36.8
103,169.46,1.43,1.65,0.4333,0.5967,30.3,36.16,0.9967,1.0533,69.7,63.84,0.4,27.97
104,170.88,1.42,1.2533,0.52,0.4133,36.62,32.98,0.9,0.84,63.38,67.02,0.4867,34.27
105,171.7833,0.9033,1.3067,0.2633,0.29,29.15,22.19,0.64,1.0167,70.85,77.81,0.35,38.75
106,173.3467,1.5633,1.1433,0.58,0.5167,37.1,45.19,0.9833,0.6267,62.9,54.81,0.4667,29.85
107,174.4833,1.1367,1.3067,0.4033,0.3033,35.48,23.21,0.7333,1.0033,64.52,76.79,0.43,37.83
108,175.9333,1.45,1.3733,0.5033,0.46,34.71,33.5,0.9467,0.9133,65.29,66.5,0.4867,33.56
109,177.6967,1.7633,1.4,0.8333,0.3733,47.26,26.67,0.93,1.0267,52.74,73.33,0.5567,31.57
110,179.31,1.6133,2.08,0.3367,0.75,20.87,36.06,1.2767,1.33,79.13,63.94,0.5267,32.64
111,180.09,0.78,1.1333,0.1833,0.2433,23.5,21.47,0.5967,0.89,76.5,78.53,0.3533,45.3
112,181.4833,1.3933,0.7867,0.5967,0.3267,42.82,41.53,0.7967,0.46,57.18,58.47,0.47,33.73
113,183.1233,1.64,1.6167,0.6067,0.4633,36.99,28.66,1.0333,1.1533,63.01,71.34,0.57,34.76
114,184.5933,1.47,1.4633,0.6833,0.3433,46.49,23.46,0.7867,1.12,53.51,76.54,0.4433,30.16
115,185.92,1.3267,1.4667,0.5133,0.3533,38.69,24.09,0.8133,1.1133,61.31,75.91,0.46,34.67
116,187.2967,1.3767,1.49,0.4467,0.4933,32.45,33.11,0.93,0.9967,67.55,66.89,0.4367,31.72
