,Elapsed Time,Left Stride Interval ,Right Stride Interval,Left Swing Interval_Sec,Right Swing Interval_Sec,Left Swing Interval,Right Swing Interval,Left Stance Interval_Sec,Right Stance Interval_sec,Left Stance Interval,Right Stance Interval,Double Support Interval_sec,Double Support Interval
0,22.6633,1.5267,1.54,0.51,0.73,33.41,47.4,1.0167,0.81,66.59,52.6,0.2867,18.78
1,24.1267,1.4633,1.4767,0.51,0.6733,34.85,45.6,0.9533,0.8033,65.15,54.4,0.28,19.13
2,25.6033,1.4767,1.5367,0.4633,0.72,31.38,46.85,1.0133,0.8167,68.62,53.15,1.39,94.13
3,27.0567,1.4533,1.5367,0.4733,0.72,32.57,46.85,0.98,0.8167,67.43,53.15,1.3567,93.35
4,28.4767,1.42,2.8833,0.4533,2.5067,31.92,86.94,0.9667,0.3767,68.08,13.06,1.4333,100.94
5,29.7967,1.32,1.35,0.45,0.8833,34.09,65.43,0.87,0.4667,65.91,34.57,1.2033,91.16
6,31.11,1.3133,1.29,0.4567,0.9567,34.77,74.16,0.8567,0.3333,65.23,25.84,-0.1,-7.61
7,32.4333,1.3233,1.29,0.4267,0.9567,32.24,74.16,0.8967,0.3333,67.76,25.84,1.5933,120.4
8,33.65,1.2167,2.58,0.4367,1.8833,35.89,73.0,0.78,0.6967,64.11,27.0,-1.1033,-90.68
9,34.8833,1.2333,1.26,0.3967,0.6267,32.16,49.74,0.8367,0.6333,67.84,50.26,0.21,17.03
10,36.02,1.1367,1.1433,0.3833,0.5267,33.72,46.06,0.7533,0.6167,66.28,53.94,0.2267,19.94
11,37.2967,1.2767,1.22,0.4467,0.5867,34.99,48.09,0.83,0.6333,65.01,51.91,0.2433,19.06
12,38.5167,1.22,1.2733,0.3933,0.54,32.24,42.41,0.8267,0.7333,67.76,57.59,0.2867,23.5
13,39.7633,1.2467,1.2167,0.4167,0.5767,33.42,47.4,0.83,0.64,66.58,52.6,0.2533,20.32
14,41.02,1.2567,1.3,0.42,0.63,33.42,48.46,0.8367,0.67,66.58,51.54,0.2067,16.45
15,42.18,1.16,1.12,0.4167,0.4233,35.92,37.8,0.7433,0.6967,64.08,62.2,0.32,27.59
16,43.39,1.21,1.2567,0.38,0.5333,31.4,42.44,0.83,0.7233,68.6,57.56,0.2967,24.52
17,44.59,1.2,1.2133,0.3633,0.5367,30.28,44.23,0.8367,0.6767,69.72,55.77,0.3,25.0
18,45.7433,1.1533,1.1533,0.37,0.5,32.08,43.35,0.7833,0.6533,67.92,56.65,0.2833,24.57
19,46.97,1.2267,1.1633,0.4233,0.5067,34.51,43.55,0.8033,0.6567,65.49,56.45,0.2967,24.18
20,48.2367,1.2667,1.28,0.3967,0.55,31.32,42.97,0.87,0.73,68.68,57.03,0.32,25.26
21,49.43,1.1933,1.2133,0.39,0.5133,32.68,42.31,0.8033,0.7,67.32,57.69,0.29,24.3
22,50.6733,1.2433,1.2,0.42,0.5033,33.78,41.94,0.8233,0.6967,66.22,58.06,0.32,25.74
23,51.8767,1.2033,1.21,0.4233,0.4967,35.18,41.05,0.78,0.7133,64.82,58.95,0.2833,23.55
24,53.1267,1.25,1.26,0.4067,0.5533,32.53,43.92,0.8433,0.7067,67.47,56.08,0.29,23.2
25,54.21,1.0833,1.1367,0.37,0.43,34.15,37.83,0.7133,0.7067,65.85,62.17,0.2833,26.15
26,55.39,1.18,1.1233,0.4067,0.4667,34.46,41.54,0.7733,0.6567,65.54,58.46,0.3067,25.99
27,56.5467,1.1567,1.1867,0.3733,0.4367,32.28,36.8,0.7833,0.75,67.72,63.2,0.3467,29.97
28,57.63,1.0833,1.0367,0.31,0.3433,28.62,33.12,0.7733,0.6933,71.38,66.88,0.43,39.69
29,58.7067,1.0767,1.15,0.3667,0.42,34.06,36.52,0.71,0.73,65.94,63.48,0.29,26.93
30,59.8267,1.12,1.1367,0.3533,0.4767,31.55,41.94,0.7667,0.66,68.45,58.06,0.29,25.89
31,60.9233,1.0967,0.9733,0.3267,0.35,29.79,35.96,0.77,0.6233,70.21,64.04,0.42,38.3
32,61.9833,1.06,1.1767,0.3667,0.4667,34.59,39.66,0.6933,0.71,65.41,60.34,0.2267,21.38
33,63.1633,1.18,1.14,0.3733,0.4967,31.64,43.57,0.8067,0.6433,68.36,56.43,0.31,26.27
34,64.24,1.0767,1.07,0.3833,0.3933,35.6,36.76,0.6933,0.6767,64.4,63.24,0.3,27.86
35,65.41,1.17,1.18,0.38,0.5033,32.48,42.66,0.79,0.6767,67.52,57.34,0.2867,24.5
36,66.5033,1.0933,1.1167,0.3633,0.44,33.23,39.4,0.73,0.6767,66.77,60.6,0.29,26.52
37,67.68,1.1767,1.18,0.3567,0.52,30.31,44.07,0.82,0.66,69.69,55.93,0.3,25.5
38,68.7433,1.0633,1.0667,0.37,0.4167,34.8,39.06,0.6933,0.65,65.2,60.94,0.2767,26.02
39,69.8833,1.14,1.1233,0.3833,0.4767,33.63,42.43,0.7567,0.6467,66.37,57.57,0.28,24.56
40,71.0467,1.1633,1.1667,0.37,0.4833,31.81,41.43,0.7933,0.6833,68.19,58.57,0.31,26.65
41,72.1933,1.1467,1.1633,0.36,0.4933,31.4,42.41,0.7867,0.67,68.6,57.59,0.2933,25.58
42,73.3433,1.15,1.17,0.3367,0.4933,29.28,42.17,0.8133,0.6767,70.72,57.83,0.32,27.83
43,74.4867,1.1433,1.11,0.3767,0.4833,32.94,43.54,0.7667,0.6267,67.06,56.46,0.2833,24.78
44,75.71,1.2233,1.1833,0.3933,0.52,32.15,43.94,0.83,0.6633,67.85,56.06,0.31,25.34
45,76.9067,1.1967,1.2267,0.3667,0.52,30.64,42.39,0.83,0.7067,69.36,57.61,0.31,25.91
46,77.99,1.0833,1.1333,0.3567,0.45,32.92,39.71,0.7267,0.6833,67.08,60.29,0.2767,25.54
47,79.12,1.13,1.1,0.35,0.4867,30.97,44.24,0.78,0.6133,69.03,55.76,0.2933,25.96
48,80.1967,1.0767,1.0567,0.3833,0.4,35.6,37.85,0.6933,0.6567,64.4,62.15,0.2933,27.24
49,81.35,1.1533,1.1767,0.3667,0.51,31.79,43.34,0.7867,0.6667,68.21,56.66,0.2767,23.99
50,82.4167,1.0667,1.0633,0.36,0.4067,33.75,38.24,0.7067,0.6567,66.25,61.76,0.3,28.12
51,83.5567,1.14,1.1633,0.3467,0.53,30.41,45.56,0.7933,0.6333,69.59,54.44,0.2633,23.1
52,84.6967,1.14,1.1167,0.3633,0.49,31.87,43.88,0.7767,0.6267,68.13,56.12,0.2867,25.15
53,85.8233,1.1267,1.1233,0.3667,0.4667,32.54,41.54,0.76,0.6567,67.46,58.46,0.2933,26.04
54,86.89,1.0667,1.06,0.3333,0.37,31.25,34.91,0.7333,0.69,68.75,65.09,0.3633,34.06
55,88.0967,1.2067,1.1933,0.3567,0.5267,29.56,44.13,0.85,0.6667,70.44,55.87,0.3233,26.8
56,89.31,1.2133,1.2233,0.37,0.53,30.49,43.32,0.8433,0.6933,69.51,56.68,0.3133,25.82
57,90.45,1.14,1.13,0.3733,0.4233,32.75,37.46,0.7667,0.7067,67.25,62.54,0.3433,30.12
58,91.7467,1.2967,1.3067,0.3633,0.5767,28.02,44.13,0.9333,0.73,71.98,55.87,0.3567,27.51
59,92.7967,1.05,1.0633,0.2933,0.4167,27.94,39.18,0.7567,0.6467,72.06,60.82,0.34,32.38
60,94.1033,1.3067,1.2933,0.37,0.6067,28.32,46.91,0.9367,0.6867,71.68,53.09,0.33,25.26
61,95.23,1.1267,1.1233,0.3833,0.47,34.02,41.84,0.7433,0.6533,65.98,58.16,0.2733,24.26
62,96.33,1.1,1.1,0.35,0.41,31.82,37.27,0.75,0.69,68.18,62.73,0.34,30.91
63,97.42,1.09,1.1367,0.3433,0.4567,31.5,40.18,0.7467,0.68,68.5,59.82,0.29,26.61
64,98.5167,1.0967,1.0567,0.37,0.44,33.74,41.64,0.7267,0.6167,66.26,58.36,0.2867,26.14
65,99.5767,1.06,1.0867,0.33,0.4367,31.13,40.18,0.73,0.65,68.87,59.82,0.2933,27.67
66,100.6833,1.1067,1.0933,0.3667,0.4533,33.13,41.46,0.74,0.64,66.87,58.54,0.2867,25.9
67,101.7833,1.1,1.1567,0.3,0.4833,27.27,41.79,0.8,0.6733,72.73,58.21,0.3167,28.79
68,102.85,1.0667,1.0333,0.35,0.4433,32.81,42.9,0.7167,0.59,67.19,57.1,0.2733,25.62
69,103.8967,1.0467,1.0567,0.3367,0.4333,32.17,41.01,0.71,0.6233,67.83,58.99,0.2767,26.43
70,104.95,1.0533,1.1,0.2867,0.48,27.22,43.64,0.7667,0.62,72.78,56.36,0.2867,27.22
71,106.01,1.06,1.0367,0.32,0.44,30.19,42.44,0.74,0.5967,69.81,57.56,0.3,28.3
72,106.9567,0.9467,1.0,0.28,0.4067,29.58,40.67,0.6667,0.5933,70.42,59.33,0.26,27.46
73,107.9733,1.0167,0.9633,0.2933,0.4233,28.85,43.94,0.7233,0.54,71.15,56.06,0.3,29.51
74,109.0033,1.03,1.02,0.31,0.42,30.1,41.18,0.72,0.6,69.9,58.82,0.3,29.13
75,109.9867,0.9833,1.0067,0.3133,0.3933,31.86,39.07,0.67,0.6133,68.14,60.93,0.2767,28.14
76,111.0,1.0133,1.0133,0.29,0.4267,28.62,42.11,0.7233,0.5867,71.38,57.89,0.2967,29.28
77,112.09,1.09,1.0733,0.3367,0.4733,30.89,44.1,0.7533,0.6,69.11,55.9,0.28,25.69
78,113.1067,1.0167,1.0133,0.29,0.4167,28.52,41.12,0.7267,0.5967,71.48,58.88,0.31,30.49
79,114.0133,0.9067,0.9467,0.28,0.3267,30.88,34.51,0.6267,0.62,69.12,65.49,0.3,33.09
80,114.9433,0.93,0.9067,0.2733,0.33,29.39,36.4,0.6567,0.5767,70.61,63.6,0.3267,35.13
81,115.92,0.9767,0.91,0.37,0.3167,37.88,34.8,0.6067,0.5933,62.12,65.2,0.29,29.69
82,116.9233,1.0033,1.0967,0.29,0.4533,28.9,41.34,0.7133,0.6433,71.1,58.66,0.26,25.91
83,117.91,0.9867,0.9267,0.3267,0.38,33.11,41.01,0.66,0.5467,66.89,58.99,0.28,28.38
84,118.89,0.98,1.0333,0.2667,0.4167,27.21,40.32,0.7133,0.6167,72.79,59.68,0.2967,30.27
85,119.8333,0.9433,0.9367,0.2867,0.3667,30.39,39.15,0.6567,0.57,69.61,60.85,0.29,30.74
86,120.7733,0.94,0.9633,0.2667,0.3667,28.37,38.06,0.6733,0.5967,71.63,61.94,0.3067,32.62
87,121.7833,1.01,0.97,0.3133,0.3833,31.02,39.52,0.6967,0.5867,68.98,60.48,0.3133,31.02
88,122.7667,0.9833,0.9833,0.3,0.4,30.51,40.68,0.6833,0.5833,69.49,59.32,0.2833,28.81
89,123.68,0.9133,0.9,0.3167,0.32,34.67,35.56,0.5967,0.58,65.33,64.44,0.2767,30.29
90,124.7233,1.0433,1.0733,0.2933,0.4467,28.12,41.61,0.75,0.6267,71.88,58.39,0.3033,29.07
91,125.6767,0.9533,0.9533,0.2867,0.4067,30.07,42.66,0.6667,0.5467,69.93,57.34,0.26,27.27
92,126.67,0.9933,0.95,0.3267,0.38,32.89,40.0,0.6667,0.57,67.11,60.0,0.2867,28.86
93,127.65,0.98,1.0067,0.3067,0.3933,31.29,39.07,0.6733,0.6133,68.71,60.93,0.28,28.57
94,128.6233,0.9733,0.98,0.31,0.4233,31.85,43.2,0.6633,0.5567,68.15,56.8,0.24,24.66
95,129.5967,0.9733,0.9633,0.31,0.3867,31.85,40.14,0.6633,0.5767,68.15,59.86,0.2767,28.42
96,130.5733,0.9767,0.9633,0.32,0.3833,32.76,39.79,0.6567,0.58,67.24,60.21,0.2733,27.99
97,131.5767,1.0033,0.9833,0.3367,0.3867,33.55,39.32,0.6667,0.5967,66.45,60.68,0.28,27.91
98,132.5967,1.02,1.0167,0.3467,0.4133,33.99,40.66,0.6733,0.6033,66.01,59.34,0.26,25.49
99,133.59,0.9933,1.0133,0.3167,0.4,31.88,39.47,0.6767,0.6133,68.12,60.53,0.2767,27.85
100,134.57,0.98,0.97,0.3433,0.3967,35.03,40.89,0.6367,0.5733,64.97,59.11,0.24,24.49
101,135.59,1.02,1.02,0.33,0.4,32.35,39.22,0.69,0.62,67.65,60.78,0.29,28.43
102,136.5667,0.9767,0.9633,0.3333,0.3667,34.13,38.06,0.6433,0.5967,65.87,61.94,0.2767,28.33
103,137.6,1.0333,1.01,0.3533,0.3933,34.19,38.94,0.68,0.6167,65.81,61.06,0.2867,27.74
104,138.64,1.04,1.05,0.3567,0.4,34.29,38.1,0.6833,0.65,65.71,61.9,0.2833,27.24
105,139.7033,1.0633,1.06,0.37,0.4367,34.8,41.19,0.6933,0.6233,65.2,58.81,0.2567,24.14
106,140.7233,1.02,1.0133,0.3667,0.39,35.95,38.49,0.6533,0.6233,64.05,61.51,0.2633,25.82
